Train,Test,Features,Classifier,Scaler,Eval-mode,Accuracy,Sensitivity,Specificity
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,1-NN-L2,None,4-fold,47.55134281200632,41.37931034482759,51.88172043010753
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,1-NN-L2,MinMax,4-fold,46.76145339652449,38.31417624521073,52.68817204301075
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,1-NN-L2,Z-score,4-fold,46.76145339652449,39.08045977011494,52.1505376344086
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,GaussianNB,None,4-fold,53.396524486571884,47.509578544061306,57.52688172043011
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,GaussianNB,MinMax,4-fold,53.396524486571884,46.74329501915709,58.06451612903226
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,GaussianNB,Z-score,4-fold,53.396524486571884,46.74329501915709,58.06451612903226
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,LogisticRegression,MinMax,4-fold,51.65876777251185,36.39846743295019,62.365591397849464
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,LogisticRegression,Z-score,4-fold,49.28909952606635,37.16475095785441,57.795698924731184
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,LinearClassifier,None,4-fold,51.81674565560821,52.87356321839081,51.075268817204304
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,LinearClassifier,MinMax,4-fold,55.92417061611374,22.22222222222222,79.56989247311827
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-f,LinearClassifier,Z-score,4-fold,50.55292259083728,33.33333333333333,62.634408602150536
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-br,1-NN-L2,None,4-fold,54.66034755134282,41.37931034482759,63.97849462365591
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-br,1-NN-L2,MinMax,4-fold,53.08056872037915,41.37931034482759,61.29032258064516
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-br,1-NN-L2,Z-score,4-fold,53.396524486571884,40.61302681992337,62.365591397849464
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-br,GaussianNB,None,4-fold,55.76619273301737,64.75095785440614,49.46236559139785
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-br,GaussianNB,MinMax,4-fold,55.92417061611374,64.75095785440614,49.73118279569893
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-br,GaussianNB,Z-score,4-fold,55.92417061611374,64.75095785440614,49.73118279569893
LIDC-IDRI,LIDC-IDRI,swin_v2-avgpool-ax-gs-br,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
